|Titulo|Main Story|Main + Extras|Completionist|All Styles|Rating|Developer|Publishers|Genres
0|Executive Assault|--|--|--|--|NR|Hesketh Studios|Hesketh Studios| July 17, 2015
1|The Witcher 3: Wild Hunt - Hearts of Stone|10 Hours|14 Hours|19 Hours|14 Hours|91| DLC/Expansion|CD Projekt RED|PC, PlayStation 4, Xbox One
2|MadOut Ice Storm|--|--|--|--|50|Nuligine|Nuligine| September 04, 2015
3|Trap Them|--|--|--|--|NR|Juri Schupilo|Juri Schupilo| 1 Month Ago
4|Interstellar Rift|--|--|--|--|NR|Split Polygon|Split Polygon| June 23, 2015
5|Dragon Age: Inquisition - Trespasser DLC|6 Hours|8 Hours|8½ Hours|7 Hours|83| DLC/Expansion|BioWare|PC, PlayStation 4, Xbox One
6|Atonement: Scourge of Time|--|10 Hours|14½ Hours|12½ Hours|65|Astronomic Games|New Reality Games|Adventure, Role-Playing
7|Halo 2600|--|15 Mins|--|15 Mins|NR|Ed Fries|AtariAge|Action, Adventure
8|Mad Snowboarding|--|--|--|--|NR|Denis Lapiner|Denis Lapiner| September 08, 2015
9|Battle Chasers: Nightwar|28½ Hours|41½ Hours|65 Hours|40½ Hours|78|Airship Syndicate|THQ Nordic|Top-Down, Turn-Based, Role-Playing, Strategy
10|Comedy Quest|1½ Hours|--|--|1½ Hours|60|Trav Nash|Crothers Games|Point-and-Click, Adventure
11|Absent|4½ Hours|--|4½ Hours|4½ Hours|70|FNGames|FNGames|Point-and-Click, Adventure
12|Start the Party!|--|--|--|--|NR|Supermassive Games|Sony Computer Entertainment| September 17, 2010
13|Grand Monster Slam|--|--|--|--|NR|Golden Goblins|Rainbow Arts| 1989
14|Konami '88|25 Mins|--|--|25 Mins|45|Konami|Konami| 1988
15|Rugby League Live 3|--|--|--|--|45|Big Ant Studios|Tru Blu Entertainment| September 29, 2015
16|Disney Infinity 3.0|4½ Hours|8 Hours|13 Hours|7½ Hours|73|Avalanche Software|Disney Interactive Studios, LucasArts|Action, Adventure, Sandbox
17|Super 3-D Noah's Ark|4½ Hours|5 Hours|7 Hours|5 Hours|60|Wisdom Tree|Piko Interactive|First-Person, Action
18|Face It: A Game to Fight Inner Demons|--|--|--|--|NR|Tlön Studios|Gamestorming|Action, Adventure
19|The Patrician|--|--|--|--|70|Ascaron|Ascaron| 1992
20|Princess Kaguya: Legend of the Moon Warrior|1½ Hours|--|--|1½ Hours|50|Zoo Corporation|Zoo Corporation| August 04, 2015
21|Klonoa: Moonlight Museum|--|6½ Hours|--|6½ Hours|NR|Namco|Namco|Third-Person, Action, Platform
22|SonSon 2|--|--|--|--|NR|Capcom|NEC Interchannel| January 27, 1989
23|Momotaro Thunderbolt|--|--|--|--|NR|Hudson|Hudson| September 21, 1990
24|Kaizou Chounin Shubibinman|--|--|30 Mins|30 Mins|80|Masaya Games|Masaya Games| March 18, 1989
25|Shockman|--|--|--|--|NR|Winds|Masaya Games| 1992
26|Adventures of Mr. Heli|--|--|--|--|30|IREM|IREM| December 01, 1989
27|Wagyan Paradise|--|--|--|--|NR|Namco|Namco| December 16, 1994
28|Romancing SaGa: Minstrel Song|29½ Hours|--|90 Hours|60 Hours|80|Square Enix|Square Enix|Third-Person, Turn-Based, Role-Playing
29|Gekisha Boy 2|--|--|--|--|NR|IREM|IREM| December 27, 2001
30|Endonesia|--|--|--|--|NR|Vanpool|Enix| May 31, 2001
31|Wolf Fang: Kuhga 2001|29 Mins|--|--|29 Mins|55|Data East|MonkeyPaw Games|Action, Platform, Shooter
32|Hermie Hopperhead: Scrap Panic|--|--|--|--|NR|Yuke's|SCEI| September 29, 1995
33|Ganbare Goemon: Uchuu Kaizoku Akogingu|--|--|--|--|NR|Konami|Konami| March 22, 1996
34|Ganbare Goemon: Shin Sedai Shuumei!|--|--|--|--|NR|Now Production|Konami| December 20, 2001
35|Ganbare Goemon: Oedo Daikaiten|--|--|--|--|NR|Konami|Konami| March 29, 2001
36|Community Pom|--|--|--|--|NR|Fill-In Cafe|Fill-In Cafe| October 30, 1997
37|Ganbare Neo Poke-kun|--|--|--|--|NR|SNK|SNK| June 06, 2000
38|Ganbare Goemon Gaiden: Kieta Ougon Kiseru|5½ Hours|--|--|5½ Hours|NR|Konami|Konami| January 05, 1990
39|Ganbare Goemon Gaiden 2: Tenka no Zaihou|--|--|--|--|NR|Konami|Konami| January 03, 1992
40|Magical Taruruuto-kun|--|--|--|--|NR|Game Freak|Sega| April 24, 1992
41|Hammerin' Harry: Tock Tock Goes the Hammer|--|--|--|--|NR|Biox|Gaps| April 28, 2000
42|Shin Bokura no Taiyou: Gyakushuu no Sabata|--|--|--|--|NR|Kojima Productions|Konami| July 28, 2005
43|Pyuu to Fuku! Jaguar Byuu to Deru! Megane-kun|--|--|--|--|NR|Intense|Konami| April 29, 2004
44|Hammerin' Harry: The Robot Empire's Ambition|--|--|--|--|NR|IREM|IREM| March 25, 1994
45|Chalvo 55|--|--|--|--|NR|Japan System Supply|Japan System Supply| February 21, 1997
46|Total Eclipse (1994)|--|--|--|--|NR|Crystal Dynamics|Crystal Dynamics| 1994
47|Star Wars: Battlefront II (Handheld)|1 Hours|14½ Hours|--|8 Hours|47|Savage Entertainment|LucasArts|Action
48|Who Wants To Be A Millionaire: Special Editions|1 Hours|--|1 Hours|1 Hours|NR|Doublesix Games|Deep Silver|Party
49|Dead in Bermuda|13½ Hours|16 Hours|--|15 Hours|71|CCCP|Plug In Digital|Role-Playing, Simulation
50|Zone 22|--|--|--|--|NR|Nordic Legacy|Nordic Legacy| June 26, 2015
51|The Dream Machine: Chapter 6|--|3 Hours|--|3 Hours|NR| DLC/Expansion|Cockroach Inc.|Point-and-Click, Adventure
52|Cross of the Dutchman|3 Hours|3 Hours|3½ Hours|3 Hours|63|Triangle Studios|Triangle Studios|Action, Adventure
53|Empty Soul|--|--|--|--|NR|ClorithStudio|ClorithStudio| June 30, 2016
54|Glest|--|--|--|--|70|Glest Team|PC| December 25, 2004
55|Race for the Galaxy|--|--|--|--|NR|Temple Gates Games|Temple Gates Games| June 27, 2017
56|Bloody Zombies|--|--|--|--|NR|Paw Print Games|nDreams| September 11, 2017
57|Noitu Love|--|3 Hours|--|3 Hours|70|Fallen Angel Industries|Fallen Angel Industries|Action, Adventure
58|Roguelight|1 Hours|--|3 Hours|2 Hours|10|Daniel Linssen|PC| 2015
59|Torsion|--|--|--|--|NR|ASGames|ASGames| September 14, 2016
60|Witches (2011)|--|--|--|--|NR|Revistronic|Revistronic| December 2011
61|DUOtris|--|--|--|--|NR|Binary Zoo Studios|Puzzle| 2 Years Ago
62|Stardust (1993)|--|--|--|--|NR|Bloodhouse|Shooter| 11.5 Months Ago
63|Vertigo|5 Hours|--|--|5 Hours|80|Zach Tsiakalis-Brown, George Eracleous, Errol Bucy|Zulubo Productions| December 22, 2016
64|Shadow Watch|--|--|--|--|NR|Red Storm Entertainment|Red Storm Entertainment| March 31, 2000
65|1bitheart|4 Hours|5½ Hours|9½ Hours|7 Hours|70|Miwashiba|Miwashiba|Adventure
66|AliceMare|2 Hours|2½ Hours|3 Hours|2½ Hours|61|Miwashiba|AGM PLAYISM|Adventure, Survival Horror
67|Densha|--|--|--|--|NR|Field of the Wheat|Adventure| 1.5 Years Ago
68|LiEat|3½ Hours|4½ Hours|4½ Hours|4 Hours|70|Miwashiba|AGM PLAYISM|Role-Playing
69|The Gray Garden|--|--|8 Hours|8 Hours|65|Deep-Sea Prisoner|PC| April 01, 2014
70|Every Extend|--|--|--|--|80|OMEGA|OMEGA| April 15, 2004
71|Titanion|--|--|--|--|NR|Kenta Cho|Kenta Cho| 11 Months Ago
72|Autumn's Journey|--|--|3 Hours|3 Hours|80|Ren'Py|PC| 2013
73|Cute Demon Crashers!|--|--|--|--|57|SugarScript|PC| 2016
74|The Blind Griffin|--|--|2 Hours|2 Hours|NR|Asphodel Quartet|Visual Novel| 1 Year Ago
75|Aurora (2018)|--|--|--|--|NR|Nicholas Turner|Nicholas Turner| April 04, 2018
76|Hot Date|26 Mins|--|--|26 Mins|85|George Batchelor|PC| 2015
77|Planet of the Eyes|1½ Hours|1½ Hours|1½ Hours|1½ Hours|63|Cococucumber|Cococucumber|Platform
78|Fat City|--|--|--|--|NR|Heavy Iron Studios|Action, Puzzle| 2 Years Ago
79|Angry Arrows|6 Hours|--|--|6 Hours|90|DanielDavisGames|DanielDavisGames|Action, Adventure
80|Two Steps Back|36 Mins|--|44 Mins|40 Mins|35|Kristen Cheely|Kristen Cheely|Visual Novel
81|The Dungeoning|--|--|--|--|NR|Nick Donnelly|Nick Donnelly| April 24, 2014
82|Earn to Die 2|6½ Hours|8 Hours|--|8 Hours|73|Toffee Games|Toffee Games, Google Play, Apple iTunes|Racing
83|Rampage Knights|5 Hours|6 Hours|66 Hours|12½ Hours|74|Rake in Grass|Rake in Grass|Action, Adventure
84|Virtua Tennis Challenge|--|--|--|--|NR|Sega|Sega| 2012
85|Xblaze: Lost Memories|7 Hours|7½ Hours|11½ Hours|9 Hours|65|Arc System Works|Aksys Games|Visual Novel
86|Pinball Mania|--|--|--|--|NR|Spidersoft|21st Century Entertainment| 1995
87|Wachenroder|--|--|12½ Hours|12½ Hours|70|West One|Sega| August 06, 1998
88|Buffers Evolution|--|--|--|--|NR|Koto|Bandai| December 09, 1999
89|Rainbow Islands: Putty's Party|--|--|--|--|NR|Digitalware|MegaHouse| June 29, 2000
90|Solar Winds: The Escape|--|--|--|--|NR|Epic Games|Top-Down, Shooter| 3.5 Months Ago
91|Scythe (Doom 2 WAD)|--|--|--|--|80| Mod|"Erik Alm, Kim ""Torn"" Bach"|First-Person, Action
92|Military Duty|--|--|--|--|55| Mod|23-down|PC
93|Dark Operations|--|--|--|--|55| Mod|TheUnbeholden|PC
94|Swords & Soldiers II|6 Hours|6½ Hours|--|6½ Hours|70|Romino Games|Romino Games|Third-Person, Scrolling, Action, Strategy, Tower Defense
95|Gravity Rush 2|20 Hours|35 Hours|53½ Hours|34 Hours|78|Project Siren|Sony Computer Entertainment|Action, Adventure
96|Bloodborne: The Old Hunters|8½ Hours|10½ Hours|10½ Hours|10 Hours|92| DLC/Expansion|From Software|PlayStation 4
97|Rats: Time is running out!|--|3 Hours|--|3 Hours|70|Citeremis|Citeremis| 2.5 Days Ago
98|Seeders|--|--|--|--|NR|Bigosaur|Bigosaur| August 21, 2015
99|Bernie Needs Love|--|--|--|--|NR|Protomni Multimedia|Protomni Multimedia| August 21, 2015
100|Way of Gold and Steel|--|--|--|--|NR|Sergey Bobrov|Sergey Bobrov| August 17, 2015
101|Earth Overclocked|--|4 Hours|8 Hours|6 Hours|80|Chronicle Bench|Chronicle Bench|Action, Adventure
102|Under Night In-Birth - Exe:Late|2½ Hours|5 Hours|12 Hours|3 Hours|74|FRENCH-BREAD|Arc System Works|Fighting
103|Curses 'N Chaos|7 Hours|--|--|7 Hours|61|Tribute Games|Tribute Games|Action
104|Nova-111|6 Hours|6½ Hours|7 Hours|6 Hours|63|Funktronic Labs|Funktronic Labs|Action, Adventure
105|Vitamin Z|--|--|--|--|NR|Namazu Studios|Namazu Studios| 9 Months Ago
106|Angus Hates Aliens|--|--|--|--|NR|Team Stendec|Team Stendec| 3 Months Ago
107|Subterrarium|--|--|--|--|NR|Slime Friend|Slime Friend| May 26, 2016
108|DungeonRift|--|--|12 Hours|12 Hours|NR|RiftyGames|RiftyGames| July 01, 2015
109|Heart of Ember|--|--|--|--|NR|Animation Catalyst|Animation Catalyst| July 27, 2015
110|Wonky Pigeon!|--|--|--|--|NR|Carlotta Tatti|Carlotta Tatti| August 14, 2015
111|Pirates Deck|--|--|--|--|NR|Smit Parmar|Smit Parmar| August 11, 2015
112|Blaster Master: Overdrive|--|--|--|--|20|Sunsoft|Sunsoft|Action, Platform
113|Unfinished: An Artist's Lament|--|--|--|--|30|Dust Scratch Games|Dust Scratch Games| August 04, 2015
114|Fast Striker|--|--|--|--|NR|NG:DEV.TEAM|NG:DEV.TEAM| 2010
115|Last Hope: Pink Bullets|3 Hours|--|--|3 Hours|70|NG:DEV.TEAM|RedSpotGames|Scrolling, Shooter
116|Frozen Free Fall: Snowball Fight|--|--|73½ Hours|73½ Hours|37|SuperVillain Studios|Disney Interactive|Puzzle
117|NekoBuro - Cats Block|--|--|--|--|NR|F K Digital|Neko Entertainment| 9.5 Months Ago
118|Robot Exploration Squad|--|3½ Hours|--|3½ Hours|NR|Jack Dolabany|DolaSoft|Action, Adventure
119|Skyshine's BEDLAM|11 Hours|--|--|11 Hours|80|Skyshine Games|Versus Evil|Role-Playing, Strategy
120|Stray Cat Crossing|2 Hours|2 Hours|2½ Hours|2 Hours|68|Jurlo, JetPackGone|Fridge|Adventure, Survival Horror
121|Armikrog|3½ Hours|4 Hours|5 Hours|4 Hours|55|Pencil Test Studios|Versus Evil|Point-and-Click, Adventure, Puzzle
122|Moonbase 332|4 Hours|4 Hours|5½ Hours|4½ Hours|NR|PatchNoteStudio|PatchNoteStudio|First-Person, Shooter
123|Destiny: The Taken King|9 Hours|27 Hours|126 Hours|19½ Hours|84| DLC/Expansion|Bungie|PlayStation 4, Xbox One
124|Rhythm Tengoku: The Best Plus|5½ Hours|--|--|5½ Hours|90|Nintendo SPD|Nintendo|Music/Rhythm
125|SHOGUN: Total War - Gold Edition|19 Hours|--|--|19 Hours|NR|Creative Assembly|SEGA|Action, Strategy
126|Clergy Splode|--|--|14 Hours|14 Hours|20|PiGravity|Back To Basics Gaming| September 17, 2015
127|The Boogie Man|3 Hours|--|--|3 Hours|NR|Uri|PC| September 05, 2015
128|My Best Friends: Cats & Dogs|--|--|--|--|NR|Sproing|TREVA Entertainment| March 27, 2014
129|Afterlife Empire|--|--|--|--|NR|Autobotika|The Fine Young Capitalists| August 21, 2015
130|BloodLust Shadowhunter|--|--|--|--|NR|WRF Studios|WRF Studios| September 21, 2015
131|Champion of the Gods|4 Hours|--|--|4 Hours|NR|Choice of Games|PC| July 17, 2015
132|Choice of the Petal Throne|--|--|--|--|NR|Choice of Games|Choice of Games|Text, Adventure
133|Tales of Aravorn: Seasons of the Wolf|--|36 Hours|--|36 Hours|NR|Winter Wolves|Winter Wolves|Role-Playing
134|Undertale|6½ Hours|10½ Hours|19 Hours|9 Hours|87|Tobyfox|Tobyfox|Role-Playing
135|Straima|--|--|--|--|NR|Anthony Case|Caiysware| September 25, 2015
136|Spaceport Hope|5½ Hours|8 Hours|9 Hours|7 Hours|NR|team BitClub|team BitClub|Action
137|Bard's Gold|--|5 Hours|--|5 Hours|NR|Erdem Sen|Erdem Sen| August 14, 2015
138|Conflicks: Revolutionary Space Battles|6 Hours|--|--|6 Hours|NR|Artifice Studio|Artifice Studio|Strategy
139|Spirou|--|--|2½ Hours|2½ Hours|20|Infogrames Entertainment, Bit Managers|Infogrames Entertainment| September 20, 1995
140|Star Trek: Starfleet Academy - Starship Bridge Simulator|4½ Hours|--|--|4½ Hours|90|Interplay, High Voltage Software|Interplay|Simulation
141|Into the Void|--|--|--|--|NR|Adrenalin Entertainment|Playmates Interactive Entertainment| 1997
142|Art Style: BASE 10|2½ Hours|--|--|2½ Hours|NR|Skip|Nintendo| July 06, 2009
143|Combat Racers|--|--|--|--|NR|The Major Game Company|The Major Game Company| April 16, 2016
144|Chill the Piro|--|--|--|--|NR|Sergey Marchenko, Vyacheslav Ozolnieks|Sergey Marchenko| April 29, 2016
145|Dinosaurs a Prehistoric Adventure|--|--|--|--|NR|Arcupion Art|Arcupion Art| December 17, 2017
146|Eaten Alive|--|--|--|--|NR|Space Cat Studios|Back To Basics Gaming|Top-Down, Survival
147|Flag N Frag|--|--|--|--|NR|EDE Arcade|EDE Arcade| April 29, 2016
148|Networm|--|--|--|--|NR|Cuddly Zombie Games|Cuddly Zombie Games| October 27, 2015
149|Perfect Universe|--|--|--|--|20|Will Sykes Games|Excalibur, Merge Games| February 26, 2016
150|Art Style: Precipice|--|--|--|--|NR|Skip|Nintendo| August 03, 2009
151|Ultimate Angler|--|--|--|--|NR|Prope|Nintendo| April 16, 2015
152|Battleground Z|--|--|--|--|60|Good-Feel|Nintendo| April 16, 2015
153|Art Style: ZENGAGE|--|--|--|--|NR|Skip|Nintendo| July 20, 2009
154|Sakura Swim Club|2½ Hours|3 Hours|2½ Hours|2½ Hours|61|Winged Cloud|Sekai Project|Visual Novel
155|Gemsweeper|--|--|--|--|NR|MumboJumbo|MumboJumbo| 5 Months Ago
156|Psycho Pinball|--|--|--|--|NR|Codemasters|Codemasters| 1994
157|99 Waves to Die|--|--|--|--|NR|SpookyFish Games|SpookyFish Games| April 09, 2015
158|Super Dungeon Run|--|--|--|--|NR|Proper Games|Proper Games| July 17, 2015
159|Mafia: The City of Lost Heaven - Mission Pack|--|--|--|--|60| Mod|Michal Šafárik|PC
160|Concrete Jungle|16½ Hours|--|--|16½ Hours|90|ColePowered Games|ColePowered Games|Strategy
161|Redhook's Revenge|--|--|--|--|NR|ImagiSoft|ImagiSoft| 1993
162|Koisuru Natsu no Last Resort|--|--|32 Hours|32 Hours|20|Pulltop|PC| March 28, 2014
163|Dave Goes Nutz!|--|--|--|--|NR|John Romero|Softdisk| 1988
164|Simply Chess|--|--|--|--|NR|BlueLine Games|BlueLine Games|Board Game
165|InterState: The Game|--|--|57 Mins|57 Mins|20|American Dream|Card Game| 2 Years Ago
166|Timberman|4 Hours|6½ Hours|28½ Hours|9½ Hours|53|Digital Melody|Forever Entertainment|Arcade
167|Musya|1 Hours|--|--|1 Hours|40|Jorudan|Datam Polystar, SETA USA|Action, Platform
168|Pop'n TwinBee: Rainbow Bell Adventures|5 Hours|--|--|5 Hours|NR|Konami|Konami|Scrolling, Platform
169|Space Football: One on One|--|--|--|--|NR|Argonaut Games|Triffix| June 1992
170|Toys (1993)|1 Hours|--|--|1 Hours|NR|Imagineering|Absolute Entertainment| 1993
171|Lester the Unlikely|--|--|--|--|NR|Visual Concepts|DTMC| 1994
172|Jewel Quest Mysteries|--|--|--|--|NR|iWin|iWin| 3 Months Ago
173|DESYNC|--|--|--|--|50|The Foregone Syndicate|Adult Swim Games| 2016
174|Black Closet|6 Hours|14 Hours|--|6½ Hours|65|Hanako Games|Hanako Games|Role-Playing, Strategy
175|Shovel Knight: Plague of Shadows|6½ Hours|7½ Hours|16 Hours|7½ Hours|83| DLC/Expansion|Yacht Club Games|Mac, Nintendo 3DS, Nintendo Switch, PC, PlayStation 3, PlayStation 4, PlayStation Vita, Wii U, Xbox One
176|Sports Car GT|--|--|--|--|NR|Image Space Incorporated|Electronic Arts| April 30, 1999
177|Tiny Toon Adventures: Buster Saves the Day|--|--|--|--|NR|Warthog|Conspiracy Games| July 30, 2001
178|Looney Tunes: Carrot Crazy|--|--|--|--|10|Bit Managers|Infogrames|Platform
179|Destiny Warriors|8 Hours|9½ Hours|11½ Hours|10 Hours|10|Ninjalex|EpicQuest Games|Action, Adventure
180|Idol Magical Girl: Chiru Chiru Michiru - Part 1|4 Hours|--|9½ Hours|6 Hours|77|Frontwing|Sekai Project|Visual Novel
181|Idol Magical Girl: Chiru Chiru Michiru - Part 2|3½ Hours|--|--|3½ Hours|70|Frontwing|Sekai Project|Visual Novel
182|WAS: The Hourglass of Lepidoptera|--|--|--|--|NR|SRL|Sekai Project| December 15, 2015
183|D-Pad Hero|--|--|--|--|NR|Kent Hansen, Andreas Pedersen|Scrolling, Music/Rhythm| February 01, 2009
184|Arcane Sorcery|--|--|--|--|NR|Andrew Rowe|Andrew Rowe| September 15, 2015
185|Recoil|10 Hours|--|--|10 Hours|70|Zipper Interactive, Westwood Studios|Electronic Arts|Car Combat
186|Quantum Flux|--|--|--|--|NR|Buko Studios|AJTilley.com| December 24, 2014
187|SC2VN: The eSports Visual Novel|3 Hours|3½ Hours|4 Hours|3½ Hours|80|Team Eleven Eleven|Team Eleven Eleven|Visual Novel
188|The Princess' Heart|--|--|--|--|NR|RosePortal Games|Degica| July 30, 2015
189|Isbarah|--|--|--|--|NR|Leikir Studio|Neko Entertainment| February 25, 2015
190|Corpse Party: Blood Drive|15 Hours|18½ Hours|24 Hours|19½ Hours|71|Team Grisgris|Xseed Games|Third-Person, Real-Time, Adventure, Survival, Survival Horror, Visual Novel
191|Invisible Apartment 2|1 Hours|1 Hours|1½ Hours|1½ Hours|65|Milan Kazarka, Jeroen van Oosten|Vysoko Anime Production|Visual Novel
192|Solar Shifter EX|--|--|4½ Hours|4½ Hours|55|Elder Games|Headup Games|Action
193|Blood Bowl 2|19 Hours|21 Hours|21 Hours|20 Hours|59|Cyanide|Focus Home Interactive|Turn-Based, Strategy
194|Legends of Solitaire: Curse of the Dragons|12½ Hours|--|14 Hours|13½ Hours|65|The Revills Games|The Revills Games|Card Game
195|Fantastic Pinball Thrills|--|--|--|--|NR|Fancy Bytes, Reactor|United Independent Entertainment| June 26, 2015
196|TAKEN|--|--|--|--|NR|Undead Yeti Software|Math Nerd Productions| July 07, 2015
197|The Juicer|--|--|--|--|NR|Anvate Games|Anvate Games| September 06, 2012
198|Atlantis II|5 Hours|--|12½ Hours|9 Hours|50|Cryo Interactive, Microïds|Gravity Europe|Point-and-Click, Adventure
199|Dinosaur Hunt: Africa Contract|--|--|4½ Hours|4½ Hours|20|Racing Bros|Racing Bros|Action, Adventure
200|GabeN: The Final Decision|--|--|3 Hours|3 Hours|57|Alex Zhang|Alex Zhang|Role-Playing
201|Hoven the Sages Spinel|9 Hours|12 Hours|14½ Hours|12 Hours|NR|Bradley Elam, Colton Bone|Hoven Indies|Adventure, Role-Playing
202|Scott in Space|--|--|--|--|NR|Ragiva Games|Black Shell Media| July 23, 2015
203|The Last Warlock|--|--|--|--|NR|Sonic Sloth|Sonic Sloth| August 24, 2015
204|Arkhelom 3D|--|--|--|--|NR|Dreams Soft Games|Dreams Soft Games| May 29, 2015
205|Hostile Dimension|--|--|--|--|NR|Alrauna Studios|Play| June 25, 2015
206|Road Works|--|--|--|--|NR|TaxSoft|TaxSoft| February 15, 2014
207|Blowy Fish|--|--|--|--|NR|One Man Band Games|One Man Band Games| September 25, 2015
208|BRAWL|3 Hours|--|--|3 Hours|NR|Bloober Team|Bloober Team| August 13, 2015
209|Cashtronauts|--|--|--|--|NR|Jeux Simon Prefontaine Games|Jeux Simon Prefontaine Games| August 12, 2015
210|Rubber and Lead|--|--|6 Hours|6 Hours|NR|Omega Point Games|Black Shell Media|Action
211|Nyctophilia|1½ Hours|3 Hours|--|2½ Hours|NR|CAT IN JAR GAMES|CAT IN JAR GAMES|Adventure, Survival Horror
212|Else Heart.Break()|13½ Hours|23 Hours|--|15 Hours|60|Erik Svedäng|PC| September 24, 2015
213|Grand Ages: Medieval|16 Hours|--|27½ Hours|18½ Hours|70|Gaming Minds Studios|Kalypso Media Digital|Strategy
214|Melter Man|--|--|--|--|NR|Husky Swim Team|RMM Studios| September 18, 2015
215|Taiko no Tatsujin: V Version|8 Hours|20 Hours|--|10 Hours|87|Bandai Namco Games|PlayStation Vita| July 09, 2015
216|Euclidean|1 Hours|3 Hours|5 Hours|2 Hours|30|Alpha Wave Entertainment|AAD Productions|Action
217|Destiny: The Dark Below|3 Hours|3 Hours|8 Hours|3 Hours|67| DLC/Expansion|Bungie|PlayStation 3, PlayStation 4, Xbox 360, Xbox One
218|Destiny: House of Wolves|3½ Hours|5 Hours|20 Hours|4½ Hours|70| DLC/Expansion|Bungie|PlayStation 3, PlayStation 4, Xbox 360, Xbox One
219|Train Valley|7½ Hours|11½ Hours|15½ Hours|11 Hours|71|Alexey Davydov, Sergey Dvoynikov, Timofey Shargorodskiy|Flazm|Simulation
220|Marvel Avengers: Battle for Earth|1½ Hours|6 Hours|--|2½ Hours|55|Ubisoft Quebec|Ubisoft| October 30, 2012
221|Leedmees|--|--|--|--|NR|Konami|Konami| September 07, 2011
222|Siege (2016)|--|--|--|--|NR|SIA Next Level|Turn-Based, Card Game| 1.5 Years Ago
223|The Ensign|--|--|--|--|20|Amirali Rajan|Adventure| 2 Years Ago
224|Traps n' Gemstones|2½ Hours|3 Hours|4 Hours|3 Hours|73|Donut Games|Donut Games|Action, Adventure
225|Icycle: On Thin Ice|1½ Hours|--|--|1½ Hours|50|Damp Gnat|Chillingo|Platform
226|Monsters Ate my Birthday Cake|--|--|8 Hours|8 Hours|50|SleepNinja Games|Cartoon Network Games|Adventure
227|Dungeon Hero|2 Hours|--|--|2 Hours|65|Grzegorz Slazinski|Grzegorz Slazinski| July 08, 2015
228|Devious Dungeon 2|--|3 Hours|--|3 Hours|50|Ravenous Games|Ravenous Games|Action, Platform
229|Tiny Dangerous Dungeons|45 Mins|1 Hours|1½ Hours|1 Hours|50|Adventure Islands|Android, iOS| 5 Months Ago
230|Dungeon Nightmares|--|--|--|--|60|Joey To|Action| 2 Years Ago
231|Love at First Sight|1½ Hours|2 Hours|3½ Hours|2½ Hours|60|Creepy Cute|Sekai Project|Visual Novel
232|Construction Simulator 2015|60 Hours|86 Hours|136 Hours|90 Hours|67|Weltenbauer. Software Entwicklung|Astragon Entertainment GmbH|Simulation
233|Medieval: Total War - Gold Edition|--|--|--|--|90|Creative Assembly|SEGA| August 20, 2002
234|Arson & Plunder: Unleashed|--|--|3½ Hours|3½ Hours|40|Chainsaw Syndicate|Headup Games|Real-Time, Beat 'em Up
235|CortexGear:AngryDroids|--|--|--|--|NR|JH12world|JH12world| September 06, 2015
236|Rockman EXE WS|41 Mins|--|--|41 Mins|80|Capcom Production Studio 2|Bandai|Platform
237|Girlfriend Rescue|--|20 Hours|--|20 Hours|60|Aldorlea Games|Aldorlea Games|Role-Playing
238|The Legend of Zelda: Tri Force Heroes|14½ Hours|25 Hours|54 Hours|21½ Hours|68|Nintendo EPD|Nintendo|Top-Down, Action, Adventure
239|Dragon: The Game|--|--|--|--|NR|Red Level Games|Red Level Games| 5.5 Months Ago
240|Armada 2526: Gold Edition|--|--|--|--|60|Ntronium Games|Iceberg Interactive| February 28, 2013
241|Solar War|--|--|--|--|NR|Snipefish Entertainment|Snipefish Entertainment| August 20, 2013
242|Tkl Online|--|--|--|--|NR| KURONEKO SOFT|KURONEKO SOFT| January 27, 2015
243|LEGO Dimensions|12½ Hours|24 Hours|43 Hours|19 Hours|74|Traveller's Tales|Warner Bros. Interactive Entertainment|Third-Person, Multidirectional, Action, Adventure
244|Til Morning's Light|6 Hours|--|7 Hours|6½ Hours|75|Amazon Game Studios|iOS| 1 Year Ago
245|Galactic Hitman|22 Mins|--|33 Mins|30 Mins|13|Digital Homicide Studios|Digital Homicide Studios|First-Person, Shooter
246|World Trigger: Borderless Mission|--|11½ Hours|--|11½ Hours|90|Artdink|Bandai Namco Games| 2 Years Ago
247|Wangan Midnight|--|--|--|--|NR|Genki|Genki| July 26, 2007
248|Samurai Warriors 4-II|32 Hours|37 Hours|--|34 Hours|82|Koei Tecmo|Koei Tecmo|Action, Hack and Slash
249|BIOS|--|--|--|--|NR|PIXYUL|PIXYUL| June 04, 2015
250|Football Tactics|14½ Hours|61 Hours|--|38 Hours|70|Creoteam|Creoteam|Sports
251|Star Command Galaxies|--|--|--|--|NR|Warballoon|Warballoon| September 17, 2015
252|Super Indie Karts|--|--|--|--|NR|One Legged Seagull|One Legged Seagull| May 06, 2015
253|Explosionade|--|--|--|--|NR|Mommy's Best Games|Mommy's Best Games| September 23, 2015
254|Kitten Squad|--|--|5½ Hours|5½ Hours|55|PETA|PlayStation 4| 2 Months Ago
255|My Singing Monsters|--|--|--|--|50|Big Blue Bubble|Big Blue Bubble| August 12, 2014
256|Run Sackboy! Run!|--|--|--|--|60|Sony Computer Entertainment America|PlayStation Vita| 3 Months Ago
257|Jotun|5½ Hours|5½ Hours|6½ Hours|5½ Hours|70|Thunder Lotus Games|Thunder Lotus Games|Action, Adventure
