|Titulo|Main Story|Main + Extras|Completionist|All Styles|Rating|Developer|Publishers|Genres
7693|Duckles: the Jigsaw Witch|12½ Hours|--|--|12½ Hours|NR|Turbulon Interactive|Turbulon Interactive| December 20, 2016
7694|Industry Manager: Future Technologies|--|--|--|--|NR|Astragon Entertainment|Astragon Entertainment| October 06, 2016
7695|Miss Fisher and the Deathly Maze|--|--|--|--|NR|Tin Man Games|Tin Man Games| February 07, 2018
7696|Wicce|--|--|--|--|NR| Alpheratz|Alpheratz| May 02, 2016
7697|DUSK (2017) - Episode 1|1 Hours|--|--|1 Hours|80| DLC/Expansion|David Szymanski|PC
7698|One Final Chaos|--|--|--|--|NR|Pusselbit, Sweet Studio Labs|A Sweet Studio| October 21, 2015
7699|Sonic: After the Sequel DX|--|3 Hours|--|3 Hours|10|LakeFeperd|LakeFeperd| August 2017
7700|Flight Unlimited 2K16|--|--|--|--|NR|Flight Systems|Flight Systems| 9.5 Months Ago
7701|Ring II: Twilight of the Gods|--|--|--|--|NR|Arxel Tribe|First-Person, Multidirectional, Adventure| 7.5 Months Ago
7702|Industries of Titan|--|--|--|--|NR|Brace Yourself Games|Brace Yourself Games| 2018
7703|Biomutant|--|--|--|--|NR|Experiment 101|THQ Nordic| 2018
7704|Odyssey (2017)|--|--|3½ Hours|3½ Hours|NR|The Young Socratics|The Young Socratics|Adventure
7705|Koronis Rift|--|--|--|--|NR|Lucasfilm Games|Epyx| 1985
7706|SegaSonic the Hedgehog|1 Hours|--|--|1 Hours|30|Sega AM3|Sega|Action, Platform
7707|Recourse (2016)|--|--|--|--|NR|Clouds and Blue|Clouds and Blue| February 29, 2016
7708|Startup Company|18 Hours|19 Hours|22 Hours|20 Hours|80|Hovgaard Games|Hovgaard Games|Sandbox, Simulation
7709|Rolando|--|--|--|--|75|HandCircus|ngmoco| December 18, 2008
7710|Universe in Fire|--|--|5 Hours|5 Hours|30|Putilin Industries|Putilin Industries|Action
7711|Farmington Tales|--|9½ Hours|12 Hours|11 Hours|50|Playcademy|Shaman Games Studio|Hidden Object, Simulation
7712|The Soldier in the Mine|--|--|30 Mins|30 Mins|30|Laush Dmitriy Sergeevich|Laush Studio| August 14, 2017
7713|Knight Rider: The Game|--|--|3½ Hours|3½ Hours|40|Davilex Games|Tri Synergy| February 12, 2003
7714|Yahari Game demo Ore no Seishun Love Come wa Machigatteiru.|--|--|--|--|NR|Guyzware, 5pb|5pb.| September 19, 2013
7715|Chaos;Child|27½ Hours|54 Hours|59 Hours|49½ Hours|77|5pb.|5pb., Hobibox, DMM, PQube|Visual Novel
7716|Igor: Objetivo Uikokahonia|--|--|--|--|60|Pendulo Studios|Pendulo Studios|Adventure
7717|Helping Hand|--|--|--|--|NR|Hubblegum|Hubblegum| July 26, 2018
7718|Sunless Skies|--|--|--|--|NR|Failbetter Games|Failbetter Games| August 30, 2017
7719|We Are Doomed|1 Hours|2 Hours|--|1½ Hours|54|Vertex Pop|Vertex Pop|Top-Down, Shooter
7720|BOOKS (2017)|--|--|1½ Hours|1½ Hours|55|Uniocs|Uniocs|Puzzle
7721|Last Day of June|3 Hours|3½ Hours|4 Hours|3½ Hours|74|Ovosonico|505 Games|Adventure
7722|AWA (2016)|--|--|--|--|NR|Omnidream Creations|Omnidream Creations| June 15, 2016
7723|Army Craft|--|--|--|--|NR|InvoHer|Atriagames| July 19, 2017
7724|Chaos Town|--|--|--|--|NR|Useless Machines|Useless Machines| May 29, 2017
7725|FullBlast|2 Hours|2½ Hours|2½ Hours|2½ Hours|40|UFO Crash Games|UFO Crash Games|Scrolling, Shooter
7726|Proviant|--|--|--|--|NR|BetsonGames|AYE Technology| July 17, 2017
7727|Rozkol|--|--|--|--|NR|Nuostak|LEVER Software, Enjoy Games| June 29, 2016
7728|The Last Patient|--|--|--|--|NR|Alex Danilow|Alex Danilow| November 13, 2016
7729|Time Waits for Nobody|--|--|--|--|20|Skobbejak Games|Skobbejak Games| July 07, 2017
7730|Block Survival: Legend of the Lost Islands|--|--|--|--|NR|Inter Pixel Arts|Inter Pixel Arts| July 14, 2017
